"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"8600000US78358","ZCTA5 78358","599","273","null","null",
"8600000US78359","ZCTA5 78359","2218","396","null","null",
"8600000US78361","ZCTA5 78361","5273","134","null","null",
"8600000US78362","ZCTA5 78362","11025","367","null","null",
"8600000US78363","ZCTA5 78363","29400","405","null","null",
"8600000US78368","ZCTA5 78368","9305","641","null","null",
"8600000US78369","ZCTA5 78369","378","127","null","null",
"8600000US78370","ZCTA5 78370","4458","504","null","null",
"8600000US78371","ZCTA5 78371","170","108","null","null",
"8600000US78372","ZCTA5 78372","4967","1103","null","null",
"8600000US78373","ZCTA5 78373","4407","215","null","null",
"8600000US78374","ZCTA5 78374","17972","262","null","null",
"8600000US78375","ZCTA5 78375","2982","248","null","null",
"8600000US78376","ZCTA5 78376","447","176","null","null",
"8600000US78377","ZCTA5 78377","3510","253","null","null",
"8600000US78379","ZCTA5 78379","1285","408","null","null",
