Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About
08/17/22, 1:39:24,700 W Mayfield Blvd,78211,Other Calls,Miscellaneous,6130,SOUTH,SAPD-2022-1074698,29.362151,-98.535356,1660761564000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:39:59,W Mariposa / Axtell,78201,Other Calls,Patrol By,2250,CENTRAL,SAPD-2022-1074699,29.480627,-98.513976,1660761599000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:42:32,1000 Grosvenor Blvd,78221,Other Calls,Suspicious Person,6150,SOUTH,SAPD-2022-1074718,29.354578,-98.520349,1660761752000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:39:02,500 Mccarty,78216,Other Calls,Injured/Sick Person,3110,NORTH,SAPD-2022-1074697,29.528472,-98.502325,1660761542000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:41:20,Weaver St / Mission Rd,78210,Other Calls,Patrol By,6220,SOUTH,SAPD-2022-1074707,29.386546,-98.490031,1660761680000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:42:57,200 N Comal St,78207,Other Calls,Wanted Person,2310,CENTRAL,SAPD-2022-1074719,29.427625,-98.507697,1660761777000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:41:20,Ih 10 W / Huebner Rd,78240,Crimes Against Person Calls,Disturbance (Gun Involved),7340,PRUE,SAPD-2022-1074708,29.544343,-98.579027,1660761680000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:43:58,Nw Loop 410 Eb / Blanco Rd,78216,Traffic Calls,Major Accident,3320,NORTH,SAPD-2022-1074725,29.520473,-98.50669,1660761838000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:41:03,2900 SW MILITARY DR,78224,Other Calls,Miscellaneous,6330,SOUTH,SAPD-2022-1074705,29.356247,-98.543724,1660761663000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:42:17,400-898 Nw Loop 410 Eb,78216,Traffic Calls,Major Accident,3320,NORTH,SAPD-2022-1074711,29.520458,-98.503888,1660761737000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:41:10,5726-5798 NW LOOP 410,78238,Traffic Calls,Traffic Related,5270,WEST,SAPD-2022-1074706,29.480591,-98.604153,1660761670000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:42:28,Nw Loop 410 Eb / San Pedro Ave,78216,Traffic Calls,Minor Accident,3320,NORTH,SAPD-2022-1074717,29.520429,-98.499253,1660761748000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:43:15,Nw Loop 410 Eb / San Pedro Ave,78216,Traffic Calls,Major Accident,3320,NORTH,SAPD-2022-1074721,29.520429,-98.499253,1660761795000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:42:02,20 Blk Ne Loop 410 Wb,78216,Traffic Calls,Major Accident,3350,NORTH,SAPD-2022-1074709,29.520576,-98.492735,1660761722000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:43:22,500 Mccarty,78216,Other Calls,Disturbance,3110,NORTH,SAPD-2022-1074720,29.528472,-98.502325,1660761802000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:42:20,400-898 Nw Loop 410 Eb,78216,Traffic Calls,Major Accident,3320,NORTH,SAPD-2022-1074712,29.52046,-98.504491,1660761740000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:42:30,4100 Running Crk,78218,Crimes Against Person Calls,Assault In Progress,4360,EAST,SAPD-2022-1074716,29.513076,-98.41544,1660761750000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:45:34,1700 Sw Loop 410,78227,Other Calls,Disturbance,5340,WEST,SAPD-2022-1074733,29.414691,-98.650195,1660761934000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:42:05,400-898 Nw Loop 410 Eb,78216,Traffic Calls,Major Accident,3320,NORTH,SAPD-2022-1074710,29.52046,-98.504491,1660761725000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
